iter	Passed	Remaining
0	2	2892
1	6	3118
2	8	2889
3	10	2734
4	13	2660
5	15	2589
6	18	2565
7	20	2521
8	22	2492
9	25	2482
10	27	2448
11	29	2426
12	32	2433
13	34	2418
14	36	2408
15	39	2414
16	41	2394
17	43	2381
18	46	2384
19	48	2365
20	50	2368
21	53	2385
22	56	2381
23	58	2367
24	60	2355
25	62	2341
26	64	2329
27	67	2326
28	69	2315
29	71	2302
30	73	2297
31	75	2285
32	77	2278
33	80	2281
34	82	2272
35	84	2264
36	86	2262
37	89	2255
38	91	2253
39	94	2259
40	96	2254
41	98	2244
42	100	2242
43	102	2235
44	104	2228
45	107	2228
46	109	2220
47	111	2216
48	114	2214
49	116	2206
50	118	2204
51	120	2203
52	122	2196
53	125	2190
54	127	2194
55	129	2190
56	132	2185
57	134	2184
58	136	2176
59	138	2176
60	141	2176
61	144	2178
62	146	2180
63	148	2177
64	150	2171
65	153	2166
66	155	2164
67	157	2158
68	159	2153
69	161	2151
70	163	2144
71	166	2142
72	168	2141
73	170	2137
74	172	2131
75	175	2133
76	177	2128
77	179	2123
78	182	2122
79	184	2116
80	186	2111
81	188	2114
82	191	2118
83	194	2121
84	196	2118
85	199	2116
86	202	2119
87	204	2120
88	207	2125
89	209	2122
90	211	2117
91	214	2113
92	216	2111
93	218	2106
94	221	2107
95	223	2105
96	225	2101
97	227	2097
98	230	2094
99	232	2089
100	234	2086
101	236	2084
102	238	2079
103	241	2076
104	243	2074
105	245	2071
106	247	2068
107	250	2065
108	252	2061
109	254	2058
110	257	2058
111	259	2054
112	261	2050
113	263	2049
114	265	2046
115	268	2045
116	270	2044
117	273	2041
118	275	2038
119	277	2035
120	279	2032
121	282	2031
122	284	2028
123	286	2024
124	288	2022
125	291	2018
126	293	2015
127	295	2012
128	297	2009
129	299	2005
130	301	2002
131	304	2000
132	306	1996
133	308	1993
134	310	1991
135	312	1987
136	315	1984
137	317	1984
138	319	1980
139	322	1978
140	324	1977
141	326	1975
142	329	1973
143	331	1970
144	333	1967
145	335	1964
146	338	1962
147	340	1958
148	342	1955
149	344	1954
150	347	1951
151	349	1948
152	359	1988
153	361	1986
154	364	1985
155	366	1982
156	368	1979
157	371	1977
158	373	1973
159	375	1970
160	377	1967
161	379	1964
162	381	1960
163	383	1957
164	386	1956
165	388	1953
166	391	1954
167	394	1956
168	398	1957
169	401	1958
170	404	1962
171	407	1963
172	410	1963
173	413	1964
174	416	1965
175	420	1969
176	423	1968
177	427	1972
178	429	1971
179	433	1973
180	436	1976
181	439	1973
182	441	1970
183	443	1967
184	446	1964
185	448	1963
186	450	1960
187	453	1958
188	455	1954
189	457	1952
190	460	1950
191	462	1946
192	464	1943
193	467	1941
194	469	1937
195	471	1933
196	473	1931
197	475	1927
198	478	1924
199	480	1922
200	482	1919
201	485	1916
202	487	1914
203	489	1911
204	491	1907
205	494	1905
206	496	1901
207	498	1898
208	501	1896
209	503	1892
210	505	1889
211	507	1887
212	510	1885
213	512	1882
214	515	1880
215	517	1877
216	519	1873
217	521	1872
218	523	1868
219	542	1923
220	545	1921
221	547	1919
222	550	1917
223	552	1915
224	555	1913
225	557	1910
226	560	1908
227	563	1906
228	565	1902
229	567	1899
230	569	1897
231	572	1895
232	575	1893
233	577	1889
234	579	1886
235	582	1884
236	584	1880
237	586	1877
238	588	1875
239	591	1871
240	593	1868
241	595	1864
242	597	1861
243	599	1857
