PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,FirstName,LastName,Spa,VRDeck
0013_01,1,1,7,3,2,3,27.0,0,0.0,0.0,0.0,2694,1957,0.0,0.0
0018_01,1,0,6,4,2,3,19.0,0,0.0,9.0,0.0,1380,1796,2823.0,0.0
0019_01,3,1,3,0,2,1,31.0,0,0.0,0.0,0.0,343,742,0.0,0.0
0021_01,3,0,3,1,2,3,38.0,0,0.0,6652.0,0.0,2174,2368,181.0,585.0
0023_01,1,0,6,5,2,3,20.0,0,10.0,0.0,635.0,2159,2281,0.0,0.0
0027_01,1,0,6,7,1,3,31.0,0,0.0,1615.0,263.0,2830,230,113.0,60.0
0029_01,3,1,2,2,1,1,21.0,0,0.0,-1.0,0.0,2619,1822,0.0,0.0
0032_01,3,1,4,0,2,3,20.0,0,0.0,0.0,0.0,2358,171,0.0,0.0
0032_02,3,1,4,0,2,1,23.0,0,0.0,0.0,0.0,1305,171,0.0,0.0
0033_01,1,0,6,7,2,1,24.0,0,0.0,639.0,0.0,2609,1773,0.0,0.0
0037_01,1,0,6,9,2,3,19.0,0,339.0,3.0,136.0,1834,1546,237.0,0.0
0040_01,3,0,4,2,1,3,45.0,0,932.0,74.0,-1.0,1807,1824,7.0,1010.0
0040_02,3,0,4,2,1,3,44.0,0,0.0,1561.0,0.0,1680,1824,14.0,224.0
0042_01,2,1,5,0,1,3,46.0,0,0.0,0.0,0.0,871,552,0.0,0.0
0046_01,1,0,7,4,1,3,21.0,0,0.0,0.0,0.0,729,2119,1687.0,92.0
0046_02,1,0,6,11,1,3,27.0,0,0.0,0.0,0.0,2652,2119,903.0,-1.0
0046_03,1,0,6,11,1,3,20.0,0,2.0,12.0,253.0,1857,2119,457.0,690.0
0047_01,3,1,2,0,2,3,44.0,0,0.0,0.0,0.0,1908,2135,0.0,0.0
0047_02,3,0,0,0,0,3,29.0,0,0.0,7708.0,243.0,724,2135,569.0,343.0
0047_03,3,0,2,0,2,3,40.0,0,26.0,1925.0,8.0,2399,1954,3144.0,63.0
0048_01,1,0,7,5,2,3,30.0,0,0.0,878.0,26.0,2568,865,3.0,0.0
0049_01,1,0,5,1,1,3,14.0,0,-1.0,0.0,0.0,2324,1639,1609.0,0.0
0054_01,3,1,2,4,1,1,31.0,0,0.0,0.0,0.0,535,1332,0.0,0.0
0054_02,3,0,2,4,1,1,27.0,0,0.0,6977.0,0.0,1371,1332,4.0,1235.0
0054_03,3,0,2,4,1,1,66.0,0,39.0,6452.0,0.0,2491,1332,1409.0,155.0
0055_01,1,0,7,5,1,3,24.0,0,1784.0,8.0,18.0,2159,551,18.0,0.0
0057_01,3,0,3,1,1,1,19.0,0,293.0,3495.0,5273.0,1830,161,118.0,422.0
0059_01,1,1,5,2,1,3,36.0,0,0.0,0.0,0.0,853,211,0.0,0.0
0060_01,1,0,6,12,1,3,21.0,0,0.0,619.0,12.0,1029,1440,3.0,0.0
0063_01,1,1,7,8,2,1,18.0,0,0.0,0.0,0.0,1292,32,0.0,0.0
0065_01,1,1,7,9,2,3,26.0,0,0.0,0.0,0.0,2785,1364,0.0,0.0
0075_01,1,0,7,11,2,3,19.0,0,598.0,0.0,30.0,2806,2277,0.0,0.0
