PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,FirstName,LastName,Spa,VRDeck,Transported
0001_01,3,0,2,0,1,3,39.0,0,0.0,0.0,0.0,2589,1593,0.0,0.0,0
0002_01,1,0,6,0,2,3,24.0,0,109.0,9.0,25.0,2035,667,549.0,44.0,1
0003_01,3,0,1,0,2,3,58.0,1,43.0,3576.0,0.0,288,694,6715.0,49.0,0
0003_02,3,0,1,0,2,3,33.0,0,0.0,1283.0,371.0,1363,694,3329.0,193.0,0
0004_01,1,0,6,1,2,3,16.0,0,303.0,70.0,151.0,1656,1564,565.0,2.0,1
0005_01,1,0,6,0,1,2,44.0,0,0.0,483.0,0.0,2039,647,291.0,0.0,1
0006_01,1,0,6,2,2,3,26.0,0,42.0,1539.0,3.0,1690,554,0.0,0.0,1
0006_02,1,1,7,0,2,3,28.0,0,0.0,0.0,0.0,1744,554,0.0,-1.0,1
0007_01,1,0,6,3,2,3,35.0,0,0.0,785.0,17.0,1138,857,216.0,0.0,1
0008_01,3,1,2,1,1,1,14.0,0,0.0,0.0,0.0,2247,557,0.0,0.0,1
0008_02,3,1,2,1,1,3,34.0,0,0.0,0.0,-1.0,206,557,0.0,0.0,1
0008_03,3,0,2,1,1,1,45.0,0,39.0,7295.0,589.0,1060,557,110.0,124.0,1
0009_01,2,0,6,1,1,3,32.0,0,73.0,0.0,1123.0,1567,106,0.0,113.0,1
0010_01,1,0,7,1,2,3,48.0,0,719.0,1.0,65.0,1906,1043,0.0,24.0,0
0011_01,1,0,6,2,1,3,28.0,0,8.0,974.0,12.0,1838,1801,2.0,7.0,1
0012_01,1,0,0,0,0,3,31.0,0,32.0,0.0,876.0,725,1186,0.0,0.0,0
0014_01,2,0,6,3,1,1,27.0,0,1286.0,122.0,-1.0,1033,253,0.0,0.0,0
0015_01,1,0,6,4,1,1,24.0,0,0.0,1.0,0.0,874,1646,0.0,637.0,0
0016_01,2,1,6,5,1,3,45.0,0,0.0,0.0,0.0,598,1781,0.0,0.0,1
0017_01,1,0,7,0,1,3,0.0,0,0.0,0.0,0.0,2064,2143,0.0,0.0,1
0017_02,1,0,6,6,1,1,14.0,0,412.0,0.0,1.0,1736,2143,0.0,679.0,0
0020_01,1,1,5,0,2,3,1.0,0,0.0,0.0,0.0,2701,410,0.0,0.0,0
0020_02,1,1,5,0,2,1,49.0,0,0.0,0.0,0.0,1423,410,0.0,0.0,0
0020_03,1,1,5,0,2,1,29.0,0,0.0,0.0,-1.0,1388,1379,0.0,0.0,0
0020_04,1,0,5,0,2,3,10.0,0,0.0,0.0,0.0,2745,1157,0.0,0.0,1
0020_05,1,1,5,0,2,2,1.0,0,-1.0,0.0,0.0,1489,410,0.0,0.0,0
0020_06,1,0,5,0,2,3,7.0,0,0.0,0.0,0.0,595,1379,0.0,0.0,0
0022_01,2,0,4,0,1,3,21.0,0,980.0,2.0,69.0,2399,1954,0.0,0.0,0
0024_01,3,1,3,2,2,3,62.0,0,0.0,0.0,-1.0,2776,1465,0.0,0.0,1
0025_01,1,0,6,6,2,3,15.0,0,0.0,225.0,0.0,1731,1977,998.0,0.0,0
0026_01,3,0,3,0,1,1,34.0,0,22.0,6073.0,0.0,2083,1946,1438.0,328.0,0
0028_01,2,0,6,8,1,3,43.0,0,1125.0,0.0,136.0,2640,2264,48.0,0.0,0
0030_01,1,0,7,4,2,3,32.0,0,0.0,850.0,81.0,317,2182,437.0,453.0,0
0031_01,2,0,6,9,1,3,47.0,0,214.0,0.0,1411.0,331,881,0.0,1229.0,1
0031_02,2,0,6,9,1,3,2.0,0,0.0,0.0,0.0,13,881,0.0,0.0,1
0031_03,2,0,6,9,1,3,20.0,0,-1.0,0.0,1750.0,856,881,990.0,0.0,1
0034_01,3,1,4,1,2,1,28.0,0,0.0,0.0,0.0,1869,1987,0.0,0.0,1
0035_01,2,0,4,1,1,1,23.0,0,784.0,964.0,0.0,2834,1175,951.0,0.0,0
0036_01,1,0,6,8,2,1,15.0,-1,0.0,492.0,48.0,2675,1243,20.0,401.0,0
0038_01,1,0,6,10,2,1,20.0,0,554.0,195.0,0.0,1220,891,2606.0,0.0,0
0039_01,1,1,7,1,1,1,30.0,0,0.0,0.0,-1.0,2046,414,0.0,0.0,0
0041_01,1,1,7,2,1,3,17.0,0,0.0,0.0,0.0,572,1933,0.0,0.0,1
0043_01,3,0,2,3,1,3,45.0,0,0.0,164.0,45.0,2880,1788,2511.0,855.0,0
0044_01,1,1,7,3,1,3,55.0,0,0.0,0.0,0.0,1328,1247,0.0,0.0,0
0044_02,1,1,7,3,1,1,4.0,0,0.0,0.0,0.0,2617,1247,0.0,0.0,1
0044_03,1,1,7,3,1,2,21.0,0,0.0,0.0,0.0,991,1247,0.0,0.0,1
0045_01,2,0,6,10,1,3,21.0,0,970.0,0.0,180.0,2620,660,0.0,64.0,0
0045_02,2,1,6,10,1,0,19.0,0,0.0,0.0,0.0,2515,660,0.0,0.0,1
0050_01,1,0,5,1,2,1,35.0,0,790.0,0.0,0.0,341,713,-1.0,0.0,0
0051_01,1,0,5,2,2,3,56.0,0,0.0,112.0,0.0,1834,918,1379.0,127.0,0
0052_01,1,0,7,6,2,3,-1.0,0,4.0,0.0,2.0,6,312,4683.0,0.0,0
0053_01,1,0,6,11,2,3,25.0,0,0.0,0.0,1938.0,1948,1706,0.0,1.0,1
0056_01,3,0,1,1,2,3,2.0,0,0.0,0.0,0.0,593,2236,0.0,0.0,1
0056_02,3,1,1,1,2,3,38.0,0,0.0,0.0,0.0,2540,2236,0.0,0.0,1
0056_03,3,0,1,1,2,3,27.0,0,279.0,605.0,3374.0,2660,2236,286.0,3.0,1
0058_01,1,1,7,7,2,2,36.0,0,0.0,0.0,0.0,1714,2001,0.0,0.0,0
0061_01,1,0,6,12,2,3,22.0,0,45.0,1096.0,148.0,1739,652,1377.0,1.0,0
0062_01,1,0,6,13,2,3,62.0,0,0.0,592.0,0.0,2360,2214,17.0,25.0,0
0064_01,2,1,6,14,2,3,15.0,0,0.0,0.0,0.0,2399,1954,0.0,0.0,1
0064_02,0,1,5,3,2,3,33.0,0,0.0,0.0,-1.0,1415,190,0.0,0.0,1
0066_01,1,0,7,6,1,3,62.0,0,1.0,153.0,197.0,2429,37,0.0,460.0,0
0067_01,1,1,7,10,2,2,0.0,0,0.0,0.0,0.0,1264,853,0.0,0.0,1
0067_02,1,0,7,10,2,3,18.0,0,1.0,258.0,446.0,338,853,0.0,0.0,1
0067_03,1,0,6,15,2,1,21.0,0,1946.0,37.0,0.0,189,853,0.0,24.0,0
0068_01,2,0,5,4,2,3,-1.0,0,793.0,0.0,2.0,534,82,253.0,0.0,0
0069_01,1,0,6,16,2,3,42.0,0,887.0,0.0,9.0,2399,1954,6.0,0.0,1
0070_01,1,0,6,13,1,3,19.0,0,190.0,0.0,5.0,2217,2143,1.0,726.0,0
0071_01,1,0,6,14,1,3,17.0,0,16.0,2165.0,0.0,2694,1953,0.0,52.0,0
0072_01,1,0,6,17,2,3,14.0,0,0.0,1.0,0.0,1592,410,0.0,1063.0,0
0073_01,2,0,4,3,1,2,37.0,0,46.0,83.0,738.0,1969,2053,0.0,12.0,0
0074_01,3,0,3,3,2,3,42.0,0,1.0,8397.0,0.0,477,1438,0.0,506.0,1
0076_01,2,0,6,18,2,3,27.0,0,147.0,0.0,1018.0,48,58,0.0,0.0,1
0077_01,2,0,6,15,1,3,28.0,0,14.0,0.0,1295.0,1677,1044,0.0,0.0,1
0078_01,3,0,3,4,2,3,38.0,0,0.0,5840.0,0.0,1806,384,321.0,9654.0,0
0081_01,1,1,7,13,2,3,13.0,0,0.0,0.0,0.0,546,2190,0.0,0.0,0
0082_01,2,0,6,16,1,3,42.0,0,7406.0,0.0,0.0,2780,1341,0.0,0.0,0
0082_02,2,1,6,16,1,3,2.0,0,0.0,0.0,0.0,1383,1341,0.0,0.0,1
0082_03,2,0,6,16,1,3,8.0,0,0.0,0.0,0.0,2399,1954,0.0,0.0,1
0084_01,1,0,7,14,2,3,24.0,0,688.0,0.0,0.0,410,1698,0.0,17.0,1
0085_01,3,1,3,5,2,3,40.0,0,0.0,0.0,0.0,1931,1938,0.0,0.0,1
0086_01,1,0,6,17,1,3,43.0,0,211.0,0.0,0.0,1328,1528,638.0,513.0,0
0088_01,2,1,5,5,2,2,45.0,0,0.0,0.0,0.0,577,1821,0.0,0.0,1
0090_01,1,1,7,15,2,3,35.0,0,0.0,0.0,0.0,1263,1037,0.0,0.0,1
0091_01,1,1,7,16,2,3,26.0,0,-1.0,0.0,0.0,1903,2244,0.0,0.0,1
0091_02,1,0,6,20,2,3,27.0,0,1.0,697.0,31.0,2679,2244,188.0,0.0,0
0092_01,1,0,7,9,1,3,19.0,0,0.0,0.0,670.0,134,876,1.0,34.0,0
0092_02,1,1,7,9,1,3,0.0,0,0.0,0.0,-1.0,1232,159,0.0,0.0,1
0092_03,1,1,7,9,1,3,3.0,0,0.0,0.0,0.0,2425,159,0.0,0.0,1
0097_01,3,0,1,2,2,3,54.0,0,0.0,1208.0,0.0,612,689,3.0,637.0,0
0098_01,1,0,7,11,1,3,26.0,0,0.0,856.0,5.0,2324,1035,32.0,0.0,0
0098_02,1,0,7,11,1,3,26.0,0,0.0,2811.0,957.0,2644,1035,0.0,87.0,1
0099_01,1,0,6,19,1,2,23.0,0,311.0,427.0,526.0,1031,1676,37.0,0.0,0
0099_02,1,-1,7,12,1,3,2.0,0,0.0,0.0,0.0,422,1606,0.0,0.0,1
0101_01,2,1,0,0,0,3,31.0,0,0.0,0.0,0.0,1045,1899,0.0,0.0,1
0102_01,1,0,6,23,2,3,18.0,0,0.0,0.0,0.0,2730,60,830.0,91.0,0
0103_01,1,0,6,24,2,3,24.0,0,0.0,-1.0,0.0,1670,79,0.0,17.0,1
0103_02,1,1,7,18,2,1,9.0,0,0.0,0.0,0.0,1809,79,0.0,0.0,1
0103_03,1,1,7,18,2,3,6.0,0,0.0,0.0,0.0,2158,79,0.0,0.0,0
0105_01,1,-1,6,21,1,3,27.0,0,0.0,0.0,570.0,874,1588,2.0,131.0,0
0107_01,2,0,4,2,2,3,21.0,0,1743.0,5.0,17.0,331,2363,0.0,0.0,0
0108_01,1,1,7,19,2,3,23.0,0,0.0,0.0,0.0,568,1667,0.0,0.0,0
0108_02,1,0,7,19,2,3,31.0,0,562.0,0.0,326.0,2399,1954,0.0,0.0,0
0108_03,1,0,7,19,2,3,0.0,-1,0.0,0.0,0.0,2513,1667,0.0,0.0,1
0110_01,3,0,0,0,0,3,32.0,0,0.0,410.0,6.0,1956,1093,3929.0,764.0,0
0110_02,3,-1,2,5,1,3,40.0,0,0.0,331.0,0.0,2623,1653,0.0,1687.0,0
0110_03,3,0,2,5,1,3,42.0,0,2209.0,11418.0,0.0,617,1093,1868.0,445.0,1
0110_04,3,1,2,5,1,3,28.0,0,0.0,0.0,0.0,513,1093,0.0,0.0,1
0111_01,3,1,5,6,2,3,29.0,0,0.0,0.0,0.0,1780,1042,0.0,0.0,1
0112_01,3,0,2,1,2,1,48.0,1,0.0,2537.0,87.0,1246,2222,17.0,13.0,1
0113_01,1,0,6,23,1,3,64.0,0,0.0,0.0,804.0,942,211,0.0,0.0,1
0114_01,1,0,7,20,2,3,27.0,0,82.0,157.0,429.0,2303,1577,238.0,1.0,0
0115_01,2,-1,6,24,1,3,26.0,0,0.0,0.0,0.0,1533,2045,0.0,-1.0,1
0116_01,3,0,4,4,1,3,33.0,0,1.0,2223.0,0.0,2670,1742,12.0,404.0,1
0119_01,0,0,1,0,1,3,39.0,0,0.0,2344.0,0.0,2304,126,65.0,6898.0,0
0119_02,3,1,1,0,1,3,13.0,0,0.0,0.0,0.0,1344,126,0.0,0.0,1
0120_01,2,1,6,25,1,3,24.0,0,0.0,0.0,0.0,765,1821,0.0,-1.0,1
0122_01,1,0,7,21,2,3,29.0,0,0.0,0.0,0.0,1704,2324,699.0,74.0,0
0123_01,1,0,6,27,1,3,18.0,0,55.0,597.0,49.0,2207,2359,0.0,1.0,0
0126_01,2,1,6,27,2,3,67.0,0,0.0,0.0,0.0,2200,45,0.0,0.0,1
0127_01,2,0,5,7,2,3,35.0,0,701.0,0.0,296.0,2444,2395,0.0,25.0,0
0128_01,2,0,4,3,2,3,61.0,1,2353.0,334.0,9.0,2272,888,316.0,2.0,0
0128_02,2,0,5,8,2,3,45.0,0,2103.0,6.0,0.0,1165,888,0.0,0.0,0
